Geometry_Section,Atom_Number,Element,X_Angstrom,Y_Angstrom,Z_Angstrom
1,1,C,-2.0089,0.923,1.4883
1,2,C,-1.3265,-0.4577,1.4543
1,3,C,0.1946,-0.5567,1.2358
1,4,C,1.0371,0.7234,1.0803
1,5,C,0.3566,2.1032,1.1215
1,6,C,-1.1681,2.2025,1.3142
1,7,C,2.5606,0.6229,0.8843
1,8,C,3.3988,1.9103,0.7533
1,9,C,2.7284,3.2972,0.8179
1,10,C,1.1965,3.3862,0.9781
1,11,C,4.8915,1.7974,0.4115
1,12,C,5.7555,3.0681,0.3059
1,13,C,5.1148,4.4602,0.4719
1,14,C,3.5885,4.5809,0.7041
1,15,C,7.2644,2.9417,0.0303
1,16,C,8.1455,4.2025,-0.069
1,17,C,7.5211,5.5823,0.132
1,18,C,6.0093,5.7193,0.4011
1,19,C,9.6555,4.0754,-0.3529
1,20,C,10.5515,5.3092,-0.6451
1,21,C,9.9348,6.6639,-0.2124
1,22,C,8.4319,6.8164,0.1046
1,23,C,12.0152,5.1991,-0.1121
1,24,C,12.8979,6.3265,-0.7278
1,25,C,12.3407,7.7308,-0.4149
1,26,C,10.8518,7.8863,-0.086
1,27,C,0.8748,-1.9354,1.1577
1,28,C,2.3743,-2.0286,0.8246
1,29,C,3.2015,-0.7572,0.6316
1,30,C,4.6737,-0.8608,0.1938
1,31,C,5.5256,0.4118,0.1823
1,32,C,7.0267,0.2831,-0.0491
1,33,C,7.8948,1.5494,-0.1351
1,34,C,9.4018,1.4229,-0.3515
1,35,C,10.2794,2.6807,-0.4092
1,36,C,11.7955,2.5521,-0.5008
1,37,C,12.6674,3.8086,-0.3723
1,38,C,14.1992,3.648,-0.3789
1,39,C,15.0726,4.8899,-0.2428
1,40,C,14.3757,6.2552,-0.2782
1,41,C,3.0639,-3.3881,0.683
1,42,C,4.5159,-3.4668,0.1743
1,43,C,5.3076,-2.2078,-0.2579
1,44,C,6.795,-2.3812,0.176
1,45,C,7.6605,-1.1194,-0.1251
1,46,C,9.1705,-1.2301,-0.4299
1,47,C,10.035,0.0361,-0.4978
1,48,C,11.5476,-0.0896,-0.6733
1,49,C,12.4355,1.16,-0.6117
1,50,C,13.959,1.0041,-0.5526
1,51,C,14.8448,2.2517,-0.4136
1,52,C,16.3586,2.096,-0.1918
1,53,C,17.2437,3.3482,-0.0669
1,54,C,16.6001,4.7521,-0.0825
1,55,C,5.1901,-4.8377,0.0729
1,56,C,6.5477,-4.95,-0.6274
1,57,C,7.426,-3.7122,-0.3387
1,58,C,8.947,-3.8376,-0.5562
1,59,C,9.8247,-2.6037,-0.6219
1,60,C,11.3423,-2.7616,-0.8658
1,61,C,12.1777,-1.4726,-0.8516
1,62,C,13.6753,-1.6477,-0.5914
1,63,C,14.5779,-0.4033,-0.4872
1,64,C,16.0802,-0.5622,-0.2186
1,65,C,16.9705,0.6858,-0.0732
1,66,C,18.4851,0.5235,0.1313
1,67,C,19.3849,1.7713,0.2144
1,68,C,18.767,3.1834,0.1072
1,69,C,7.2184,-6.2953,-0.2728
1,70,C,8.7429,-6.4533,-0.42
1,71,C,9.5993,-5.2137,-0.684
1,72,C,11.1041,-5.3591,-1.0058
1,73,C,12.0343,-4.1234,-1.1295
1,74,C,13.28,-4.2718,-0.2178
1,75,C,14.2431,-3.0519,-0.3208
1,76,C,15.7648,-3.2084,-0.1118
1,77,C,16.6785,-1.9671,-0.0478
1,78,C,18.1866,-2.1268,0.2167
1,79,C,19.0928,-0.8827,0.293
1,80,C,20.6023,-1.0431,0.5542
1,81,C,21.5124,0.2011,0.5978
1,82,C,20.9,1.6062,0.4343
1,83,C,9.4379,-7.8132,-0.2536
1,84,C,10.9322,-7.9341,-0.6009
1,85,C,11.6794,-6.7638,-1.2775
1,86,C,13.168,-6.8725,-0.9077
1,87,C,13.9677,-5.6482,-0.4226
1,88,C,15.4758,-5.8301,-0.1649
1,89,C,16.3739,-4.6049,0.0324
1,90,C,17.8808,-4.7721,0.3051
1,91,C,18.7865,-3.5297,0.4057
1,92,C,20.2894,-3.6884,0.6964
1,93,C,21.1956,-2.4434,0.7856
1,94,C,22.6921,-2.5816,1.1231
1,95,C,23.591,-1.3315,1.1556
1,96,C,23.0337,0.069,0.8216
1,97,C,13.2582,8.9709,-0.3985
1,98,O,14.6924,8.8743,-0.8611
1,99,O,12.6943,10.3094,0.014
1,100,H,15.0245,9.8639,-1.2382
1,101,C,8.6724,-9.0429,0.2729
1,102,O,9.3936,-10.3601,0.4301
1,103,O,7.2196,-8.931,0.6673
1,104,H,10.4854,-10.193,0.3177
1,105,H,5.558,6.7525,0.5495
1,106,H,10.4287,8.8993,0.2214
1,107,H,0.2635,-2.8845,1.3147
1,108,H,2.4939,-4.3443,0.9283
1,109,H,17.2515,5.682,0.0181
1,110,H,4.6898,-5.7615,0.5155
1,111,H,19.4352,4.1044,0.1767
1,112,H,21.571,2.5266,0.4801
1,113,H,13.6897,-7.8831,-0.9869
1,114,H,15.9315,-6.8751,-0.1651
1,115,H,18.3266,-5.8144,0.4241
1,116,H,20.7285,-4.7282,0.8401
1,117,H,23.3219,0.7727,1.6709
1,118,H,23.5544,0.4312,-0.1255
1,119,H,-3.1364,0.9981,1.6387
1,120,H,-1.9476,-1.4055,1.5809
1,121,H,-1.6731,3.2243,1.3397
1,122,H,0.6799,4.3991,0.9972
1,123,H,24.6868,-1.4406,1.451
1,124,H,8.0005,7.8465,0.3331
1,125,H,6.3477,-4.9604,-1.7496
1,126,H,6.5856,-7.1638,0.1039
1,127,H,11.4963,-8.89,-0.3408
1,128,H,11.6051,-6.9352,-2.4021
1,129,O,3.2135,1.2429,2.095
1,130,O,11.6806,-2.0371,-2.1525
1,131,O,16.4812,1.4173,1.1497
1,132,O,12.7583,-4.2731,1.199
1,133,O,10.6819,5.349,-2.1487
1,134,H,11.9849,5.3304,1.0201
1,135,H,13.6089,-4.385,1.9032
1,136,H,11.3282,6.205,-2.4352
1,137,C,2.9255,5.9746,0.8146
1,138,O,3.7468,7.2286,0.6449
1,139,O,1.4546,6.1,1.1253
1,140,H,1.278,7.0281,1.7077
1,141,C,23.3114,-3.9568,1.4495
1,142,O,24.7842,-4.0541,1.7685
1,143,O,22.4558,-5.1996,1.4891
1,144,H,21.5202,-4.9814,2.0451
1,145,C,6.7864,-2.5323,1.7087
1,146,O,5.5315,-2.2281,2.4916
1,147,O,7.9774,-3.1444,2.4056
1,148,H,8.73,-2.3538,2.6073
1,149,H,5.3026,-2.1857,-1.3975
1,150,H,12.4066,-4.106,-2.2068
1,151,H,12.8818,6.1893,-1.8596
1,152,H,14.9388,7.197,0.025
1,153,C,10.9432,3.6755,4.3957
1,154,C,9.4181,3.541,4.5777
1,155,C,8.5262,2.5126,3.8562
1,156,C,8.9563,1.0568,3.566
1,157,N,10.3446,0.5292,3.8322
1,158,C,11.5835,1.243,3.3491
1,159,C,11.8197,2.7628,3.516
1,160,C,7.075,2.9458,3.5646
1,161,C,6.06,1.9519,2.9803
1,162,C,6.4774,0.4986,2.7257
1,163,C,7.9136,0.0498,3.0369
1,164,C,12.6739,0.3742,2.69
1,165,C,13.9485,1.0127,2.1226
1,166,C,14.1509,2.5295,2.2237
1,167,C,13.0998,3.3958,2.9334
1,168,C,10.4817,-0.9008,4.3065
1,169,O,9.2501,-1.7097,4.6353
1,170,N,11.849,-1.5189,4.4812
1,171,H,11.4431,4.5899,4.8581
1,172,H,8.8941,4.3493,5.1874
1,173,H,6.7504,4.0149,3.7908
1,174,H,4.9991,2.2926,2.7392
1,175,H,5.7261,-0.243,2.2972
1,176,H,8.2166,-1.0341,2.8567
1,177,H,12.5249,-0.7532,2.61
1,178,H,14.7359,0.3631,1.6151
1,179,H,15.0834,3.0117,1.7791
1,180,H,13.2743,4.5172,3.0418
1,181,H,11.942,-2.5687,4.8295
1,182,H,12.7605,-0.923,4.2691
2,1,C,-1.998671,0.92963,1.391834
2,2,C,-1.309052,-0.441282,1.362161
2,3,C,0.212875,-0.543757,1.161721
2,4,C,1.056919,0.723629,1.018724
2,5,C,0.38204,2.093019,1.054229
2,6,C,-1.14311,2.193885,1.229222
2,7,C,2.583263,0.62095,0.84042
2,8,C,3.425052,1.903385,0.719806
2,9,C,2.756397,3.285279,0.778632
2,10,C,1.231664,3.368474,0.92201
2,11,C,4.919946,1.786516,0.390743
2,12,C,5.785786,3.046473,0.29589
2,13,C,5.151053,4.430395,0.459236
2,14,C,3.627481,4.558572,0.676247
2,15,C,7.290437,2.9184,0.032148
2,16,C,8.172621,4.168345,-0.057025
2,17,C,7.552867,5.539597,0.144206
2,18,C,6.051332,5.676311,0.400383
2,19,C,9.673349,4.043389,-0.33496
2,20,C,10.568003,5.276964,-0.621662
2,21,C,9.953061,6.627048,-0.185963
2,22,C,8.462022,6.768828,0.1254
2,23,C,12.034211,5.166921,-0.094098
2,24,C,12.910228,6.300077,-0.711142
2,25,C,12.345677,7.710008,-0.394251
2,26,C,10.86705,7.849275,-0.063507
2,27,C,0.898837,-1.915816,1.090169
2,28,C,2.395627,-2.014435,0.776836
2,29,C,3.226646,-0.752325,0.593664
2,30,C,4.692324,-0.854183,0.175047
2,31,C,5.54759,0.41026,0.169856
2,32,C,7.047956,0.278532,-0.050765
2,33,C,7.917036,1.53646,-0.130337
2,34,C,9.417744,1.411275,-0.342628
2,35,C,10.294495,2.660562,-0.395434
2,36,C,11.807108,2.533733,-0.492864
2,37,C,12.679808,3.778762,-0.365367
2,38,C,14.199965,3.617461,-0.385883
2,39,C,15.075128,4.853382,-0.251435
2,40,C,14.39034,6.211077,-0.272852
2,41,C,3.0831,-3.367364,0.647614
2,42,C,4.534385,-3.453383,0.16001
2,43,C,5.330967,-2.199523,-0.266002
2,44,C,6.815865,-2.37053,0.181738
